node_id,x_coord,y_coord
0,0.000371,0.000313
1,0.000773,0.000477
2,0.000221,0.000685
3,0.000763,0.000430
4,0.000608,0.000459
5,0.000022,0.000794
6,0.000328,0.000791
7,0.000072,0.000791
8,0.000278,0.000784
9,0.000180,0.000783
10,0.000247,0.000777
11,0.000012,0.000763
12,0.000165,0.000757
13,0.000071,0.000725
14,0.000171,0.000702
15,0.000560,0.000697
16,0.000517,0.000691
17,0.000267,0.000677
18,0.000043,0.000680
19,0.000333,0.000665
20,0.000566,0.000669
21,0.000083,0.000658
22,0.000761,0.000646
23,0.000681,0.000639
24,0.000435,0.000635
25,0.000578,0.000612
26,0.000081,0.000602
27,0.000522,0.000598
28,0.000724,0.000588
29,0.000562,0.000582
30,0.000786,0.000554
31,0.000739,0.000547
32,0.000621,0.000539
33,0.000534,0.000535
34,0.000564,0.000516
35,0.000509,0.000509
36,0.000704,0.000478
37,0.000470,0.000462
38,0.000678,0.000440
39,0.000627,0.000440
40,0.000721,0.000435
41,0.000453,0.000418
42,0.000514,0.000412
43,0.000657,0.000396
44,0.000410,0.000367
45,0.000509,0.000364
46,0.000685,0.000356
47,0.000389,0.000341
48,0.000645,0.000335
49,0.000771,0.000324
50,0.000609,0.000322
51,0.000430,0.000316
52,0.000400,0.000310
53,0.000726,0.000303
54,0.000031,0.000297
55,0.000007,0.000297
56,0.000135,0.000291
57,0.000104,0.000291
58,0.000239,0.000289
59,0.000341,0.000286
60,0.000512,0.000288
61,0.000195,0.000285
62,0.000596,0.000266
63,0.000753,0.000265
64,0.000327,0.000267
65,0.000110,0.000253
66,0.000686,0.000243
67,0.000770,0.000239
68,0.000302,0.000228
69,0.000041,0.000216
70,0.000014,0.000216
71,0.000356,0.000218
72,0.000403,0.000211
73,0.000087,0.000210
74,0.000183,0.000208
75,0.000573,0.000196
76,0.000223,0.000202
77,0.000619,0.000185
78,0.000277,0.000189
79,0.000129,0.000171
80,0.000092,0.000171
81,0.000026,0.000173
82,0.000255,0.000150
83,0.000491,0.000139
84,0.000534,0.000129
85,0.000410,0.000122
86,0.000335,0.000122
87,0.000015,0.000122
88,0.000098,0.000114
89,0.000680,0.000111
90,0.000222,0.000108
91,0.000310,0.000104
92,0.000269,0.000104
93,0.000541,0.000082
94,0.000203,0.000084
95,0.000783,0.000076
96,0.000120,0.000055
97,0.000066,0.000041
98,0.000028,0.000035
99,0.000445,0.000039
100,0.000160,0.000034
101,0.000274,0.000019
102,0.000126,0.000019
103,0.000231,0.000011
104,0.000099,0.000719
105,0.000301,0.000668
106,0.000040,0.000728
107,0.000566,0.000128
108,0.000461,0.000622
109,0.000586,0.000484
110,0.000502,0.000212
111,0.000034,0.000591
112,0.000042,0.000255
113,0.000360,0.000783
114,0.000091,0.000000
115,0.000007,0.000735
116,0.000133,0.000708
117,0.000728,0.000643
118,0.000484,0.000485
119,0.000213,0.000164
120,0.000484,0.000411
